
---------- Begin Simulation Statistics ----------
simSeconds                                   0.176537                       # Number of seconds simulated (Second)
simTicks                                 176537063118                       # Number of ticks simulated (Tick)
finalTick                                176537063118                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1952.35                       # Real time elapsed on the host (Second)
hostTickRate                                 90422647                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  268783588                       # Number of bytes of host memory used (Byte)
simInsts                                     67408805                       # Number of instructions simulated (Count)
simOps                                      116912226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        335621794                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.978901                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.200848                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       264019393                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      159                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      216345596                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96570                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            147107318                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         294380403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           335484302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.644875                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.196188                       # Number of insts issued each cycle (Count)
system.cpu.l2.cache.m_allocsByWay::3           131098                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::4           131101                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::5           131108                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::6           131099                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::7           131104                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::8           131114                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::9           131095                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::10          131106                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::11          131096                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::12          131105                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::13          131102                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::14          131105                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_allocsByWay::15          131100                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.cache.m_demand_hits                   0                       # Number of cache demand hits (Unspecified)
system.cpu.l2.cache.m_demand_misses           2097644                       # Number of cache demand misses (Unspecified)
system.cpu.l2.cache.m_demand_accesses         2097644                       # Number of cache demand accesses (Unspecified)
system.cpu.l2.datIn.m_msg_count               5392394                       # Number of messages passed the buffer (Count)
system.cpu.l2.datIn.m_buf_msgs               0.077243                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.datIn.m_stall_time           1406635164                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.datIn.m_avg_stall_time       260.855413                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.datOut.m_msg_count              8390570                       # Number of messages passed the buffer (Count)
system.cpu.l2.datOut.m_buf_msgs              0.174608                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.datOut.m_stall_time          4861022250                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.datOut.m_avg_stall_time      579.343507                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.power_state.pwrStateResidencyTicks::UNDEFINED  53115858194                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.l2.replTriggerQueue.m_msg_count      2097643                       # Number of messages passed the buffer (Count)
system.cpu.l2.reqIn.m_msg_count               4194901                       # Number of messages passed the buffer (Count)
system.cpu.l2.reqIn.m_buf_msgs               0.060574                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.reqIn.m_stall_time           1119994990                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.reqIn.m_avg_stall_time       266.989612                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.reqOut.m_msg_count              4195286                       # Number of messages passed the buffer (Count)
system.cpu.l2.reqOut.m_buf_msgs              0.084829                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.reqOut.m_stall_time          2299032418                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.reqOut.m_avg_stall_time      548.003740                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.reqRdy.m_msg_count              4194901                       # Number of messages passed the buffer (Count)
system.cpu.l2.reqRdy.m_buf_msgs              0.000009                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.reqRdy.m_stall_time              500752                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.reqRdy.m_stall_count                 57                       # Number of times messages were stalled (Count)
system.cpu.l2.reqRdy.m_avg_stall_time        0.119372                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.rspIn.m_msg_count               4195833                       # Number of messages passed the buffer (Count)
system.cpu.l2.rspIn.m_buf_msgs               0.060231                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.rspIn.m_stall_time           1101292610                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.rspIn.m_avg_stall_time       262.472937                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.rspOut.m_msg_count              4194900                       # Number of messages passed the buffer (Count)
system.cpu.l2.rspOut.m_buf_msgs              0.061775                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.rspOut.m_stall_time          1074720824                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.rspOut.m_avg_stall_time      256.197007                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.sf.streamingHnfFillBypasses            0                       # Streaming HNF cache misses that bypassed an LLC fill (Unspecified)
system.cpu.l2.sf.m_allocsByWay                      0                       # Lines placed in each way (way-partitioning audit) (Unspecified)
system.cpu.l2.sf.m_demand_hits                      0                       # Number of cache demand hits (Unspecified)
system.cpu.l2.sf.m_demand_misses                    0                       # Number of cache demand misses (Unspecified)
system.cpu.l2.sf.m_demand_accesses                  0                       # Number of cache demand accesses (Unspecified)
system.cpu.l2.snpOut.m_msg_count                  525                       # Number of messages passed the buffer (Count)
system.cpu.l2.snpOut.m_buf_msgs              0.000008                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.snpOut.m_stall_time              144312                       # Total number of ticks messages were stalled in this buffer (Tick)
system.cpu.l2.snpOut.m_avg_stall_time      274.880000                       # Average stall ticks per message ((Tick/Count))
system.cpu.l2.triggerQueue.m_msg_count       59628272                       # Number of messages passed the buffer (Count)
system.cpu.l2.triggerQueue.m_buf_msgs        0.166174                       # Average number of messages in buffer ((Count/Tick))
system.cpu.l2.triggerQueue.m_stall_count      2097643                       # Number of times messages were stalled (Count)
system.cpu.lsq0.forwLoads                          73                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                     205                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                    0                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                   2                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                     57                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    0                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                2829686                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples           16777563                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::mean            556.907173                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::stdev           261.937349                       # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::0-9                  56248      0.34%      0.34% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::10-19                 6227      0.04%      0.37% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::20-29                 4702      0.03%      0.40% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::30-39                 3869      0.02%      0.42% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::40-49                 3210      0.02%      0.44% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::50-59                 3112      0.02%      0.46% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::60-69                 2901      0.02%      0.48% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::70-79                 6446      0.04%      0.52% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::80-89                30165      0.18%      0.70% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::90-99               111166      0.66%      1.36% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::100-109             153815      0.92%      2.28% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::110-119             103720      0.62%      2.89% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::120-129              93128      0.56%      3.45% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::130-139             175774      1.05%      4.50% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
system.cpu.lsq0.loadToUse::140-149             352905      2.10%      6.60% # Distribution of cycle latency between the first time a load is issued and its completion (Cycle)
